交易时间	公众账号ID	商户号	特约商户号	设备号	微信订单号	商户订单号	用户标识	交易类型	交易状态	付款银行	货币种类	应结订单金额	代金券金额	微信退款单号	商户退款单号	退款金额	充值券退款金额	退款类型	退款状态	公司名称	商户数据包	手续费	费率	订单金额	申请退款金额	费率备注				值	
`2020-08-13 13:23:22	`wx271ae48b10918188	`1516858981	`0	`	`4200000582202008139983771288	`2020081357985648	`oJdiI1L9pfzbuABabM2moU6-Gfec	`JSAPI	`SUCCESS	`OTHERS	`CNY	`2.00	`0.00	`0	`0	`0.00	`0.00	`	`	华住集团	`merchant	`0.01000	`0.60%	2	0	`			行标签	求和项:订单金额	求和项:申请退款金额
`2020-08-01 12:33:43	`wx271ae48b10918188	`1516858981	`0	`	`4200000598202008015995895200	`280649600395105968	`oJdiI1ADuo-x9-SnWwHsngZZZNk0	`JSAPI	`SUCCESS	`OTHERS	`CNY	`18.00	`0.00	`0	`0	`0.00	`0.00	`	`	恩思恩有限公司	`r	`0.11000	`0.60%	18	0	`			CDP集团	85	6
`2020-08-01 16:54:34	`wx271ae48b10918188	`1516858981	`0	`	`4200000587202008014914970070	`210649615968686997	`oJdiI1PfwpUNxjESEi2VcgYJmu-w	`NATIVE	`SUCCESS	`OTHERS	`CNY	`13.00	`0.00	`0	`0	`0.00	`0.00	`	`	美克家居	`r	`0.08000	`0.60%	13	0	`			包商银行	12	0
`2020-08-01 17:39:49	`wx271ae48b10918188	`1516858981	`0	`	`4200000580202008010832092052	`550649618736547347	`oJdiI1OAExfBMZxToaqKahSGtgiQ	`NATIVE	`SUCCESS	`OTHERS	`CNY	`3.00	`0.00	`0	`0	`0.00	`0.00	`	`	美克家居	`r	`0.02000	`0.60%	3	0	`			达索析统（上海）信息技术有限公司	247	0
`2020-08-02 00:05:13	`wx271ae48b10918188	`1516858981	`0	`	`4200000580202008025195176586	`180649641674860916	`oJdiI1EI3io4X1SGzMKcM0-2CPlM	`NATIVE	`SUCCESS	`CMB_DEBIT	`CNY	`487.00	`0.00	`0	`0	`0.00	`0.00	`	`	卫展	`r	`2.92000	`0.60%	487	0	`			道达尔集团	917	0
`2020-08-02 14:41:19	`wx271ae48b10918188	`1516858981	`0	`	`4200000577202008026161590663	`170649694441471415	`oJdiI1FqLmrgrnmTP4nyE90qDj_U	`NATIVE	`SUCCESS	`OTHERS	`CNY	`4.00	`0.00	`0	`0	`0.00	`0.00	`	`	美克家居	`r	`0.02000	`0.60%	4	0	`			德莎国际货运代理（上海）有限公司	10	0
`2020-08-03 07:32:39	`wx271ae48b10918188	`1516858981	`0	`	`4200000574202008036042642959	`990649754528850908	`oJdiI1G7ZvyIH5l-FH9YBePL2IcA	`JSAPI	`SUCCESS	`ICBC_DEBIT	`CNY	`28.00	`0.00	`0	`0	`0.00	`0.00	`	`	瀚晖制药有限公司	`r	`0.17000	`0.60%	28	0	`			蒂森克虏伯	38	0
`2020-08-03 14:29:16	`wx271ae48b10918188	`1516858981	`0	`	`4200000590202008032241372379	`310649780033482695	`oJdiI1Htk0ATmseHQZii2vTJh5tM	`NATIVE	`SUCCESS	`OTHERS	`CNY	`2.00	`0.00	`0	`0	`0.00	`0.00	`	`	文思海辉	`r	`0.01000	`0.60%	2	0	`			恩思恩有限公司	38	0
`2020-08-03 21:02:38	`wx271ae48b10918188	`1516858981	`0	`	`4200000572202008030758344721	`240649803125782288	`oJdiI1HytPisSTVQ-FVTQy_2zu8M	`JSAPI	`SUCCESS	`ICBC_DEBIT	`CNY	`14.00	`0.00	`0	`0	`0.00	`0.00	`	`	森马	`r	`0.08000	`0.60%	14	0	`			盖璞有限公司	34	0
`2020-08-04 09:48:04	`wx271ae48b10918188	`1516858981	`0	`	`4200000576202008048742965396	`620649849586913282	`oJdiI1E-S33m25r0eeSMV0Cq1alI	`NATIVE	`SUCCESS	`OTHERS	`CNY	`40.00	`0.00	`0	`0	`0.00	`0.00	`	`	浙江正泰新能源开发有限公司	`r	`0.24000	`0.60%	40	0	`			广汽菲克	39	0
